iter	Passed	Remaining
986	69343	913
987	69409	843
988	69474	772
989	69542	702
990	69608	632
991	69675	561
992	69755	491
993	69839	421
994	69927	351
995	70001	281
996	70079	210
997	70153	140
998	70230	70
999	70314	0
